Grade,Occ_Class,Jurisdiction,Salary,Date
1.5,Junior Officer,NT,47872,13/08/2015
1.6,Junior Officer,NT,48865,13/08/2015
2.1,Junior Officer,NT,49485,13/08/2015
2.2,Junior Officer,NT,50759,13/08/2015
2.3,Junior Officer,NT,51778,13/08/2015
2.4,Junior Officer,NT,52813,13/08/2015
2.5,Junior Officer,NT,53875,13/08/2015
3.1,Junior Officer,NT,55213,13/08/2015
3.2,Junior Officer,NT,56281,13/08/2015
3.3,Junior Officer,NT,57370,13/08/2015
3.4,Junior Officer,NT,59587,13/08/2015
4.1,Officer,NT,62529,13/08/2015
4.2,Officer,NT,63687,13/08/2015
4.3,Officer,NT,65679,13/08/2015
4.4,Officer,NT,67671,13/08/2015
4.5,Officer,NT,69660,13/08/2015
4.6,Officer,NT,71782,13/08/2015
5.1,Officer,NT,74145,13/08/2015
5.2,Officer,NT,76075,13/08/2015
5.3,Officer,NT,78006,13/08/2015
6.1,Senior Officer,NT,81465,13/08/2015
6.2,Senior Officer,NT,84666,13/08/2015
6.3,Senior Officer,NT,87867,13/08/2015
6.4,Senior Officer,NT,91068,13/08/2015
7.1,Senior Officer,NT,96325,13/08/2015
7.2,Senior Officer,NT,99975,13/08/2015
7.3,Senior Officer,NT,103626,13/08/2015
EO2,Specialist,NT,139274,13/08/2015
EO3,Specialist,NT,149156,13/08/2015
S1.1,Principal Officer,NT,108679,13/08/2015
S1.2,Principal Officer,NT,114667,13/08/2015
S1.3,Principal Officer,NT,121410,13/08/2015
S2.1,Manager,NT,125376,13/08/2015
S2.2,Manager,NT,130892,13/08/2015
S2.3,Manager,NT,136650,13/08/2015
1.1,Junior Officer,NT,45020,10/08/2016
1.2,Junior Officer,NT,45684,10/08/2016
1.3,Junior Officer,NT,46345,10/08/2016
1.4,Junior Officer,NT,47012,10/08/2016
1.5,Junior Officer,NT,47872,10/08/2016
1.6,Junior Officer,NT,48865,10/08/2016
2.1,Junior Officer,NT,49485,10/08/2016
2.2,Junior Officer,NT,50759,10/08/2016
2.3,Junior Officer,NT,51778,10/08/2016
2.4,Junior Officer,NT,52813,10/08/2016
2.5,Junior Officer,NT,53875,10/08/2016
3.1,Junior Officer,NT,55213,10/08/2016
3.2,Junior Officer,NT,56281,10/08/2016
3.3,Junior Officer,NT,57370,10/08/2016
3.4,Junior Officer,NT,59587,10/08/2016
4.1,Officer,NT,62529,10/08/2016
4.2,Officer,NT,63687,10/08/2016
4.3,Officer,NT,65679,10/08/2016
4.4,Officer,NT,67671,10/08/2016
4.5,Officer,NT,69660,10/08/2016
4.6,Officer,NT,71782,10/08/2016
5.1,Officer,NT,74145,10/08/2016
5.2,Officer,NT,76075,10/08/2016
5.3,Officer,NT,78006,10/08/2016
6.1,Senior Officer,NT,81465,10/08/2016
6.2,Senior Officer,NT,84666,10/08/2016
6.3,Senior Officer,NT,87867,10/08/2016
6.4,Senior Officer,NT,91068,10/08/2016
7.1,Senior Officer,NT,96325,10/08/2016
7.2,Senior Officer,NT,99975,10/08/2016
7.3,Senior Officer,NT,103626,10/08/2016
EO2,Specialist,NT,139274,10/08/2016
EO3,Specialist,NT,149156,10/08/2016
S1.1,Principal Officer,NT,108679,10/08/2016
S1.2,Principal Officer,NT,114667,10/08/2016
S1.3,Principal Officer,NT,121410,10/08/2016
S2.1,Manager,NT,125376,10/08/2016
S2.2,Manager,NT,130892,10/08/2016
S2.3,Manager,NT,136650,10/08/2016
1.1,Junior Officer,NT,46371,11/08/2016
1.2,Junior Officer,NT,47055,11/08/2016
1.3,Junior Officer,NT,47735,11/08/2016
1.4,Junior Officer,NT,48422,11/08/2016
1.5,Junior Officer,NT,49308,11/08/2016
1.6,Junior Officer,NT,50331,11/08/2016
2.1,Junior Officer,NT,50970,11/08/2016
2.2,Junior Officer,NT,52282,11/08/2016
2.3,Junior Officer,NT,53331,11/08/2016
2.4,Junior Officer,NT,54397,11/08/2016
2.5,Junior Officer,NT,55491,11/08/2016
3.1,Junior Officer,NT,56869,11/08/2016
3.2,Junior Officer,NT,57969,11/08/2016
3.3,Junior Officer,NT,59091,11/08/2016
3.4,Junior Officer,NT,61375,11/08/2016
4.1,Officer,NT,64405,11/08/2016
4.2,Officer,NT,65598,11/08/2016
4.3,Officer,NT,67649,11/08/2016
4.4,Officer,NT,69701,11/08/2016
4.5,Officer,NT,71750,11/08/2016
4.6,Officer,NT,73935,11/08/2016
5.1,Officer,NT,76369,11/08/2016
5.2,Officer,NT,78357,11/08/2016
5.3,Officer,NT,80346,11/08/2016
6.1,Senior Officer,NT,83909,11/08/2016
6.2,Senior Officer,NT,87206,11/08/2016
6.3,Senior Officer,NT,90503,11/08/2016
6.4,Senior Officer,NT,93800,11/08/2016
7.1,Senior Officer,NT,99215,11/08/2016
7.2,Senior Officer,NT,102974,11/08/2016
7.3,Senior Officer,NT,106735,11/08/2016
EO2,Specialist,NT,143452,11/08/2016
EO3,Specialist,NT,153631,11/08/2016
S1.1,Principal Officer,NT,111939,11/08/2016
S1.2,Principal Officer,NT,118107,11/08/2016
S1.3,Principal Officer,NT,125052,11/08/2016
S2.1,Manager,NT,129137,11/08/2016
S2.2,Manager,NT,134819,11/08/2016
S2.3,Manager,NT,140750,11/08/2016
1.1,Junior Officer,NT,46371,9/08/2017
1.2,Junior Officer,NT,47055,9/08/2017
1.3,Junior Officer,NT,47735,9/08/2017
1.4,Junior Officer,NT,48422,9/08/2017
1.5,Junior Officer,NT,49308,9/08/2017
1.6,Junior Officer,NT,50331,9/08/2017
2.1,Junior Officer,NT,50970,9/08/2017
2.2,Junior Officer,NT,52282,9/08/2017
2.3,Junior Officer,NT,53331,9/08/2017
2.4,Junior Officer,NT,54397,9/08/2017
2.5,Junior Officer,NT,55491,9/08/2017
3.1,Junior Officer,NT,56869,9/08/2017
3.2,Junior Officer,NT,57969,9/08/2017
3.3,Junior Officer,NT,59091,9/08/2017
3.4,Junior Officer,NT,61375,9/08/2017
4.1,Officer,NT,64405,9/08/2017
4.2,Officer,NT,65598,9/08/2017
4.3,Officer,NT,67649,9/08/2017
4.4,Officer,NT,69701,9/08/2017
4.5,Officer,NT,71750,9/08/2017
4.6,Officer,NT,73935,9/08/2017
5.1,Officer,NT,76369,9/08/2017
5.2,Officer,NT,78357,9/08/2017
5.3,Officer,NT,80346,9/08/2017
6.1,Senior Officer,NT,83909,9/08/2017
6.2,Senior Officer,NT,87206,9/08/2017
6.3,Senior Officer,NT,90503,9/08/2017
6.4,Senior Officer,NT,93800,9/08/2017
7.1,Senior Officer,NT,99215,9/08/2017
7.2,Senior Officer,NT,102974,9/08/2017
7.3,Senior Officer,NT,106735,9/08/2017
EO2,Specialist,NT,143452,9/08/2017
EO3,Specialist,NT,153631,9/08/2017
S1.1,Principal Officer,NT,111939,9/08/2017
S1.2,Principal Officer,NT,118107,9/08/2017
S1.3,Principal Officer,NT,125052,9/08/2017
S2.1,Manager,NT,129137,9/08/2017
S2.2,Manager,NT,134819,9/08/2017
S2.3,Manager,NT,140750,9/08/2017
1.1,Junior Officer,NT,47530,10/08/2017
1.2,Junior Officer,NT,48231,10/08/2017
1.3,Junior Officer,NT,48928,10/08/2017
1.4,Junior Officer,NT,49633,10/08/2017
1.5,Junior Officer,NT,50541,10/08/2017
1.6,Junior Officer,NT,51589,10/08/2017
2.1,Junior Officer,NT,52244,10/08/2017
2.2,Junior Officer,NT,53589,10/08/2017
2.3,Junior Officer,NT,54664,10/08/2017
2.4,Junior Officer,NT,55757,10/08/2017
2.5,Junior Officer,NT,56878,10/08/2017
3.1,Junior Officer,NT,58291,10/08/2017
3.2,Junior Officer,NT,59418,10/08/2017
3.3,Junior Officer,NT,60568,10/08/2017
3.4,Junior Officer,NT,62909,10/08/2017
4.1,Officer,NT,66015,10/08/2017
4.2,Officer,NT,67238,10/08/2017
4.3,Officer,NT,69340,10/08/2017
4.4,Officer,NT,71444,10/08/2017
4.5,Officer,NT,73544,10/08/2017
4.6,Officer,NT,75783,10/08/2017
5.1,Officer,NT,78278,10/08/2017
5.2,Officer,NT,80316,10/08/2017
5.3,Officer,NT,82355,10/08/2017
6.1,Senior Officer,NT,86007,10/08/2017
6.2,Senior Officer,NT,89386,10/08/2017
6.3,Senior Officer,NT,92766,10/08/2017
6.4,Senior Officer,NT,96145,10/08/2017
7.1,Senior Officer,NT,101695,10/08/2017
7.2,Senior Officer,NT,105548,10/08/2017
7.3,Senior Officer,NT,109403,10/08/2017
EO2,Specialist,NT,147038,10/08/2017
EO3,Specialist,NT,157472,10/08/2017
S1.1,Principal Officer,NT,114737,10/08/2017
S1.2,Principal Officer,NT,121060,10/08/2017
S1.3,Principal Officer,NT,128178,10/08/2017
S2.1,Manager,NT,132365,10/08/2017
S2.2,Manager,NT,138189,10/08/2017
S2.3,Manager,NT,144269,10/08/2017
1.1,Junior Officer,NT,47530,22/08/2018
1.2,Junior Officer,NT,48231,22/08/2018
1.3,Junior Officer,NT,48928,22/08/2018
1.4,Junior Officer,NT,49633,22/08/2018
1.5,Junior Officer,NT,50541,22/08/2018
1.6,Junior Officer,NT,51589,22/08/2018
2.1,Junior Officer,NT,52244,22/08/2018
2.2,Junior Officer,NT,53589,22/08/2018
2.3,Junior Officer,NT,54664,22/08/2018
2.4,Junior Officer,NT,55757,22/08/2018
2.5,Junior Officer,NT,56878,22/08/2018
3.1,Junior Officer,NT,58291,22/08/2018
3.2,Junior Officer,NT,59418,22/08/2018
3.3,Junior Officer,NT,60568,22/08/2018
3.4,Junior Officer,NT,62909,22/08/2018
4.1,Officer,NT,66015,22/08/2018
4.2,Officer,NT,67238,22/08/2018
4.3,Officer,NT,69340,22/08/2018
4.4,Officer,NT,71444,22/08/2018
4.5,Officer,NT,73544,22/08/2018
4.6,Officer,NT,75783,22/08/2018
5.1,Officer,NT,78278,22/08/2018
5.2,Officer,NT,80316,22/08/2018
5.3,Officer,NT,82355,22/08/2018
6.1,Senior Officer,NT,86007,22/08/2018
6.2,Senior Officer,NT,89386,22/08/2018
6.3,Senior Officer,NT,92766,22/08/2018
6.4,Senior Officer,NT,96145,22/08/2018
7.1,Senior Officer,NT,101695,22/08/2018
7.2,Senior Officer,NT,105548,22/08/2018
7.3,Senior Officer,NT,109403,22/08/2018
EO2,Specialist,NT,147038,22/08/2018
EO3,Specialist,NT,157472,22/08/2018
S1.1,Principal Officer,NT,114737,22/08/2018
S1.2,Principal Officer,NT,121060,22/08/2018
S1.3,Principal Officer,NT,128178,22/08/2018
S2.1,Manager,NT,132365,22/08/2018
S2.2,Manager,NT,138189,22/08/2018
S2.3,Manager,NT,144269,22/08/2018
1.1,Junior Officer,NT,48718,23/08/2018
1.2,Junior Officer,NT,49437,23/08/2018
1.3,Junior Officer,NT,50151,23/08/2018
1.4,Junior Officer,NT,50874,23/08/2018
1.5,Junior Officer,NT,51805,23/08/2018
1.6,Junior Officer,NT,52879,23/08/2018
2.1,Junior Officer,NT,53550,23/08/2018
2.2,Junior Officer,NT,54929,23/08/2018
2.3,Junior Officer,NT,56031,23/08/2018
2.4,Junior Officer,NT,57151,23/08/2018
2.5,Junior Officer,NT,58300,23/08/2018
3.1,Junior Officer,NT,59748,23/08/2018
3.2,Junior Officer,NT,60903,23/08/2018
3.3,Junior Officer,NT,62082,23/08/2018
3.4,Junior Officer,NT,64482,23/08/2018
4.1,Officer,NT,67665,23/08/2018
4.2,Officer,NT,68919,23/08/2018
4.3,Officer,NT,71074,23/08/2018
4.4,Officer,NT,73230,23/08/2018
4.5,Officer,NT,75383,23/08/2018
4.6,Officer,NT,77678,23/08/2018
5.1,Officer,NT,80235,23/08/2018
5.2,Officer,NT,82324,23/08/2018
5.3,Officer,NT,84414,23/08/2018
6.1,Senior Officer,NT,88157,23/08/2018
6.2,Senior Officer,NT,91621,23/08/2018
6.3,Senior Officer,NT,95085,23/08/2018
6.4,Senior Officer,NT,98549,23/08/2018
7.1,Senior Officer,NT,104237,23/08/2018
7.2,Senior Officer,NT,108187,23/08/2018
7.3,Senior Officer,NT,112138,23/08/2018
EO2,Specialist,NT,150714,23/08/2018
EO3,Specialist,NT,161409,23/08/2018
S1.1,Principal Officer,NT,117605,23/08/2018
S1.2,Principal Officer,NT,124087,23/08/2018
S1.3,Principal Officer,NT,131382,23/08/2018
S2.1,Manager,NT,135674,23/08/2018
S2.2,Manager,NT,141644,23/08/2018
S2.3,Manager,NT,147876,23/08/2018
1.1,Junior Officer,NT,48718,21/08/2019
1.2,Junior Officer,NT,49437,21/08/2019
1.3,Junior Officer,NT,50151,21/08/2019
1.4,Junior Officer,NT,50874,21/08/2019
1.5,Junior Officer,NT,51805,21/08/2019
1.6,Junior Officer,NT,52879,21/08/2019
2.1,Junior Officer,NT,53550,21/08/2019
2.2,Junior Officer,NT,54929,21/08/2019
2.3,Junior Officer,NT,56031,21/08/2019
2.4,Junior Officer,NT,57151,21/08/2019
2.5,Junior Officer,NT,58300,21/08/2019
3.1,Junior Officer,NT,59748,21/08/2019
3.2,Junior Officer,NT,60903,21/08/2019
3.3,Junior Officer,NT,62082,21/08/2019
3.4,Junior Officer,NT,64482,21/08/2019
4.1,Officer,NT,67665,21/08/2019
4.2,Officer,NT,68919,21/08/2019
4.3,Officer,NT,71074,21/08/2019
4.4,Officer,NT,73230,21/08/2019
4.5,Officer,NT,75383,21/08/2019
4.6,Officer,NT,77678,21/08/2019
5.1,Officer,NT,80235,21/08/2019
5.2,Officer,NT,82324,21/08/2019
5.3,Officer,NT,84414,21/08/2019
6.1,Senior Officer,NT,88157,21/08/2019
6.2,Senior Officer,NT,91621,21/08/2019
6.3,Senior Officer,NT,95085,21/08/2019
6.4,Senior Officer,NT,98549,21/08/2019
7.1,Senior Officer,NT,104237,21/08/2019
7.2,Senior Officer,NT,108187,21/08/2019
7.3,Senior Officer,NT,112138,21/08/2019
EO2,Specialist,NT,150714,21/08/2019
EO3,Specialist,NT,161409,21/08/2019
S1.1,Principal Officer,NT,117605,21/08/2019
S1.2,Principal Officer,NT,124087,21/08/2019
S1.3,Principal Officer,NT,131382,21/08/2019
S2.1,Manager,NT,135674,21/08/2019
S2.2,Manager,NT,141644,21/08/2019
S2.3,Manager,NT,147876,21/08/2019
1.1,Junior Officer,NT,49936,22/08/2019
1.2,Junior Officer,NT,50673,22/08/2019
1.3,Junior Officer,NT,51405,22/08/2019
1.4,Junior Officer,NT,52146,22/08/2019
1.5,Junior Officer,NT,53100,22/08/2019
1.6,Junior Officer,NT,54201,22/08/2019
2.1,Junior Officer,NT,54889,22/08/2019
2.2,Junior Officer,NT,56302,22/08/2019
2.3,Junior Officer,NT,57432,22/08/2019
2.4,Junior Officer,NT,58580,22/08/2019
2.5,Junior Officer,NT,59758,22/08/2019
3.1,Junior Officer,NT,61242,22/08/2019
3.2,Junior Officer,NT,62426,22/08/2019
3.3,Junior Officer,NT,63634,22/08/2019
3.4,Junior Officer,NT,66094,22/08/2019
4.1,Officer,NT,69357,22/08/2019
4.2,Officer,NT,70642,22/08/2019
4.3,Officer,NT,72851,22/08/2019
4.4,Officer,NT,75061,22/08/2019
4.5,Officer,NT,77268,22/08/2019
4.6,Officer,NT,79620,22/08/2019
5.1,Officer,NT,82241,22/08/2019
5.2,Officer,NT,84382,22/08/2019
5.3,Officer,NT,86524,22/08/2019
6.1,Senior Officer,NT,90361,22/08/2019
6.2,Senior Officer,NT,93912,22/08/2019
6.3,Senior Officer,NT,97462,22/08/2019
6.4,Senior Officer,NT,101013,22/08/2019
7.1,Senior Officer,NT,106843,22/08/2019
7.2,Senior Officer,NT,110892,22/08/2019
7.3,Senior Officer,NT,114941,22/08/2019
EO2,Specialist,NT,154482,22/08/2019
EO3,Specialist,NT,165444,22/08/2019
S1.1,Principal Officer,NT,120545,22/08/2019
S1.2,Principal Officer,NT,127189,22/08/2019
S1.3,Principal Officer,NT,134667,22/08/2019
S2.1,Manager,NT,139066,22/08/2019
S2.2,Manager,NT,145185,22/08/2019
S2.3,Manager,NT,151573,22/08/2019
1.1,Junior Officer,NT,49936,19/08/2020
1.2,Junior Officer,NT,50673,19/08/2020
1.3,Junior Officer,NT,51405,19/08/2020
1.4,Junior Officer,NT,52146,19/08/2020
1.5,Junior Officer,NT,53100,19/08/2020
1.6,Junior Officer,NT,54201,19/08/2020
2.1,Junior Officer,NT,54889,19/08/2020
2.2,Junior Officer,NT,56302,19/08/2020
2.3,Junior Officer,NT,57432,19/08/2020
2.4,Junior Officer,NT,58580,19/08/2020
2.5,Junior Officer,NT,59758,19/08/2020
3.1,Junior Officer,NT,61242,19/08/2020
3.2,Junior Officer,NT,62426,19/08/2020
3.3,Junior Officer,NT,63634,19/08/2020
3.4,Junior Officer,NT,66094,19/08/2020
4.1,Officer,NT,69357,19/08/2020
4.2,Officer,NT,70642,19/08/2020
4.3,Officer,NT,72851,19/08/2020
4.4,Officer,NT,75061,19/08/2020
4.5,Officer,NT,77268,19/08/2020
4.6,Officer,NT,79620,19/08/2020
5.1,Officer,NT,82241,19/08/2020
5.2,Officer,NT,84382,19/08/2020
5.3,Officer,NT,86524,19/08/2020
6.1,Senior Officer,NT,90361,19/08/2020
6.2,Senior Officer,NT,93912,19/08/2020
6.3,Senior Officer,NT,97462,19/08/2020
6.4,Senior Officer,NT,101013,19/08/2020
7.1,Senior Officer,NT,106843,19/08/2020
7.2,Senior Officer,NT,110892,19/08/2020
7.3,Senior Officer,NT,114941,19/08/2020
EO2,Specialist,NT,154482,19/08/2020
EO3,Specialist,NT,165444,19/08/2020
S1.1,Principal Officer,NT,120545,19/08/2020
S1.2,Principal Officer,NT,127189,19/08/2020
S1.3,Principal Officer,NT,134667,19/08/2020
S2.1,Manager,NT,139066,19/08/2020
S2.2,Manager,NT,145185,19/08/2020
S2.3,Manager,NT,151573,19/08/2020
1.1,Junior Officer,NT,51184,20/08/2020
1.2,Junior Officer,NT,51940,20/08/2020
1.3,Junior Officer,NT,52690,20/08/2020
1.4,Junior Officer,NT,53450,20/08/2020
1.5,Junior Officer,NT,54428,20/08/2020
1.6,Junior Officer,NT,55556,20/08/2020
2.1,Junior Officer,NT,56261,20/08/2020
2.2,Junior Officer,NT,57710,20/08/2020
2.3,Junior Officer,NT,58868,20/08/2020
2.4,Junior Officer,NT,60045,20/08/2020
2.5,Junior Officer,NT,61252,20/08/2020
3.1,Junior Officer,NT,62773,20/08/2020
3.2,Junior Officer,NT,63987,20/08/2020
3.3,Junior Officer,NT,65225,20/08/2020
3.4,Junior Officer,NT,67746,20/08/2020
4.1,Officer,NT,71091,20/08/2020
4.2,Officer,NT,72408,20/08/2020
4.3,Officer,NT,74672,20/08/2020
4.4,Officer,NT,76938,20/08/2020
4.5,Officer,NT,79200,20/08/2020
4.6,Officer,NT,81611,20/08/2020
5.1,Officer,NT,84297,20/08/2020
5.2,Officer,NT,86492,20/08/2020
5.3,Officer,NT,88687,20/08/2020
6.1,Senior Officer,NT,92620,20/08/2020
6.2,Senior Officer,NT,96260,20/08/2020
6.3,Senior Officer,NT,99899,20/08/2020
6.4,Senior Officer,NT,103538,20/08/2020
7.1,Senior Officer,NT,109514,20/08/2020
7.2,Senior Officer,NT,113664,20/08/2020
7.3,Senior Officer,NT,117815,20/08/2020
EO2,Specialist,NT,158344,20/08/2020
EO3,Specialist,NT,169580,20/08/2020
S1.1,Principal Officer,NT,123559,20/08/2020
S1.2,Principal Officer,NT,130369,20/08/2020
S1.3,Principal Officer,NT,138034,20/08/2020
S2.1,Manager,NT,142543,20/08/2020
S2.2,Manager,NT,148815,20/08/2020
S2.3,Manager,NT,155362,20/08/2020
1.1,Junior Officer,NT,51184,9/08/2021
1.2,Junior Officer,NT,51940,9/08/2021
1.3,Junior Officer,NT,52690,9/08/2021
1.4,Junior Officer,NT,53450,9/08/2021
1.5,Junior Officer,NT,54428,9/08/2021
1.6,Junior Officer,NT,55556,9/08/2021
2.1,Junior Officer,NT,56261,9/08/2021
2.2,Junior Officer,NT,57710,9/08/2021
2.3,Junior Officer,NT,58868,9/08/2021
2.4,Junior Officer,NT,60045,9/08/2021
2.5,Junior Officer,NT,61252,9/08/2021
3.1,Junior Officer,NT,62773,9/08/2021
3.2,Junior Officer,NT,63987,9/08/2021
3.3,Junior Officer,NT,65225,9/08/2021
3.4,Junior Officer,NT,67746,9/08/2021
4.1,Officer,NT,71091,9/08/2021
4.2,Officer,NT,72408,9/08/2021
4.3,Officer,NT,74672,9/08/2021
4.4,Officer,NT,76938,9/08/2021
4.5,Officer,NT,79200,9/08/2021
4.6,Officer,NT,81611,9/08/2021
5.1,Officer,NT,84297,9/08/2021
5.2,Officer,NT,86492,9/08/2021
5.3,Officer,NT,88687,9/08/2021
6.1,Senior Officer,NT,92620,9/08/2021
6.2,Senior Officer,NT,96260,9/08/2021
6.3,Senior Officer,NT,99899,9/08/2021
6.4,Senior Officer,NT,103538,9/08/2021
7.1,Senior Officer,NT,109514,9/08/2021
7.2,Senior Officer,NT,113664,9/08/2021
7.3,Senior Officer,NT,117815,9/08/2021
EO2,Specialist,NT,158344,9/08/2021
EO3,Specialist,NT,169580,9/08/2021
S1.1,Principal Officer,NT,123559,9/08/2021
S1.2,Principal Officer,NT,130369,9/08/2021
S1.3,Principal Officer,NT,138034,9/08/2021
S2.1,Manager,NT,142543,9/08/2021
S2.2,Manager,NT,148815,9/08/2021
S2.3,Manager,NT,155362,9/08/2021
1.1,Junior Officer,NT,55184,10/08/2021
1.2,Junior Officer,NT,55940,10/08/2021
1.3,Junior Officer,NT,56690,10/08/2021
1.4,Junior Officer,NT,57450,10/08/2021
1.5,Junior Officer,NT,58428,10/08/2021
1.6,Junior Officer,NT,59556,10/08/2021
2.1,Junior Officer,NT,60261,10/08/2021
2.2,Junior Officer,NT,61710,10/08/2021
2.3,Junior Officer,NT,62868,10/08/2021
2.4,Junior Officer,NT,64045,10/08/2021
2.5,Junior Officer,NT,65252,10/08/2021
3.1,Junior Officer,NT,66773,10/08/2021
3.2,Junior Officer,NT,67987,10/08/2021
3.3,Junior Officer,NT,69225,10/08/2021
3.4,Junior Officer,NT,71746,10/08/2021
4.1,Officer,NT,75091,10/08/2021
4.2,Officer,NT,76408,10/08/2021
4.3,Officer,NT,78672,10/08/2021
4.4,Officer,NT,80938,10/08/2021
4.5,Officer,NT,83200,10/08/2021
4.6,Officer,NT,85611,10/08/2021
5.1,Officer,NT,88297,10/08/2021
5.2,Officer,NT,90492,10/08/2021
5.3,Officer,NT,92687,10/08/2021
6.1,Senior Officer,NT,96620,10/08/2021
6.2,Senior Officer,NT,100260,10/08/2021
6.3,Senior Officer,NT,103899,10/08/2021
6.4,Senior Officer,NT,107538,10/08/2021
7.1,Senior Officer,NT,113514,10/08/2021
7.2,Senior Officer,NT,117664,10/08/2021
7.3,Senior Officer,NT,121815,10/08/2021
EO2,Specialist,NT,162344,10/08/2021
EO3,Specialist,NT,173580,10/08/2021
S1.1,Principal Officer,NT,127559,10/08/2021
S1.2,Principal Officer,NT,134369,10/08/2021
S1.3,Principal Officer,NT,142034,10/08/2021
S2.1,Manager,NT,146543,10/08/2021
S2.2,Manager,NT,152815,10/08/2021
S2.3,Manager,NT,159362,10/08/2021
1.1,Junior Officer,NT,55184,9/08/2022
1.2,Junior Officer,NT,55940,9/08/2022
1.3,Junior Officer,NT,56690,9/08/2022
1.4,Junior Officer,NT,57450,9/08/2022
1.5,Junior Officer,NT,58428,9/08/2022
1.6,Junior Officer,NT,59556,9/08/2022
2.1,Junior Officer,NT,60261,9/08/2022
2.2,Junior Officer,NT,61710,9/08/2022
2.3,Junior Officer,NT,62868,9/08/2022
2.4,Junior Officer,NT,64045,9/08/2022
2.5,Junior Officer,NT,65252,9/08/2022
3.1,Junior Officer,NT,66773,9/08/2022
3.2,Junior Officer,NT,67987,9/08/2022
3.3,Junior Officer,NT,69225,9/08/2022
3.4,Junior Officer,NT,71746,9/08/2022
4.1,Officer,NT,75091,9/08/2022
4.2,Officer,NT,76408,9/08/2022
4.3,Officer,NT,78672,9/08/2022
4.4,Officer,NT,80938,9/08/2022
4.5,Officer,NT,83200,9/08/2022
4.6,Officer,NT,85611,9/08/2022
5.1,Officer,NT,88297,9/08/2022
5.2,Officer,NT,90492,9/08/2022
5.3,Officer,NT,92687,9/08/2022
6.1,Senior Officer,NT,96620,9/08/2022
6.2,Senior Officer,NT,100260,9/08/2022
6.3,Senior Officer,NT,103899,9/08/2022
6.4,Senior Officer,NT,107538,9/08/2022
7.1,Senior Officer,NT,113514,9/08/2022
7.2,Senior Officer,NT,117664,9/08/2022
7.3,Senior Officer,NT,121815,9/08/2022
EO2,Specialist,NT,162344,9/08/2022
EO3,Specialist,NT,173580,9/08/2022
S1.1,Principal Officer,NT,127559,9/08/2022
S1.2,Principal Officer,NT,134369,9/08/2022
S1.3,Principal Officer,NT,142034,9/08/2022
S2.1,Manager,NT,146543,9/08/2022
S2.2,Manager,NT,152815,9/08/2022
S2.3,Manager,NT,159362,9/08/2022
1.1,Junior Officer,NT,53184,10/08/2022
1.2,Junior Officer,NT,53940,10/08/2022
1.3,Junior Officer,NT,54690,10/08/2022
1.4,Junior Officer,NT,55450,10/08/2022
1.5,Junior Officer,NT,56428,10/08/2022
1.6,Junior Officer,NT,57556,10/08/2022
2.1,Junior Officer,NT,58261,10/08/2022
2.2,Junior Officer,NT,59710,10/08/2022
2.3,Junior Officer,NT,60868,10/08/2022
2.4,Junior Officer,NT,62045,10/08/2022
2.5,Junior Officer,NT,63252,10/08/2022
3.1,Junior Officer,NT,64773,10/08/2022
3.2,Junior Officer,NT,65987,10/08/2022
3.3,Junior Officer,NT,67225,10/08/2022
3.4,Junior Officer,NT,69746,10/08/2022
4.1,Officer,NT,73091,10/08/2022
4.2,Officer,NT,74408,10/08/2022
4.3,Officer,NT,76672,10/08/2022
4.4,Officer,NT,78938,10/08/2022
4.5,Officer,NT,81200,10/08/2022
4.6,Officer,NT,83611,10/08/2022
5.1,Officer,NT,86297,10/08/2022
5.2,Officer,NT,88492,10/08/2022
5.3,Officer,NT,90687,10/08/2022
6.1,Senior Officer,NT,94620,10/08/2022
6.2,Senior Officer,NT,98260,10/08/2022
6.3,Senior Officer,NT,101899,10/08/2022
6.4,Senior Officer,NT,105538,10/08/2022
7.1,Senior Officer,NT,111514,10/08/2022
7.2,Senior Officer,NT,115664,10/08/2022
7.3,Senior Officer,NT,119815,10/08/2022
EO2,Specialist,NT,160344,10/08/2022
EO3,Specialist,NT,171580,10/08/2022
S1.1,Principal Officer,NT,125559,10/08/2022
S1.2,Principal Officer,NT,132369,10/08/2022
S1.3,Principal Officer,NT,140034,10/08/2022
S2.1,Manager,NT,144543,10/08/2022
S2.2,Manager,NT,150815,10/08/2022
S2.3,Manager,NT,157362,10/08/2022
1.1,Junior Officer,Queensland,35805,1/09/2015
1.2,Junior Officer,Queensland,37772,1/09/2015
1.3,Junior Officer,Queensland,39731,1/09/2015
2.1,Junior Officer,Queensland,44193,1/09/2015
2.2,Junior Officer,Queensland,45213,1/09/2015
2.3,Junior Officer,Queensland,46259,1/09/2015
2.4,Junior Officer,Queensland,47316,1/09/2015
2.5,Junior Officer,Queensland,48398,1/09/2015
2.6,Junior Officer,Queensland,49536,1/09/2015
2.7,Junior Officer,Queensland,50811,1/09/2015
2.8,Junior Officer,Queensland,52220,1/09/2015
3.1,Junior Officer,Queensland,55813,1/09/2015
3.2,Junior Officer,Queensland,57965,1/09/2015
3.3,Junior Officer,Queensland,60110,1/09/2015
3.4,Junior Officer,Queensland,62236,1/09/2015
4.1,Officer,Queensland,65993,1/09/2015
4.2,Officer,Queensland,68177,1/09/2015
4.3,Officer,Queensland,70365,1/09/2015
4.4,Officer,Queensland,72565,1/09/2015
5.1,Officer,Queensland,76478,1/09/2015
5.2,Officer,Queensland,78701,1/09/2015
